ObjectID,Total_TravelTime,Total_Kilometers,Origin_School,Dest_School,,,
124,16.82623023,14.42248219,0,490,490,,
125,17.56609627,11.17388544,0,533,533,,
126,18.84575001,11.59333915,0,275,275,,
127,20.06918901,11.59585028,0,438,438,,
128,21.6710881,24.58074861,0,461,461,,
129,23.13137377,21.24344045,0,181,181,,
130,23.71487292,28.99116211,0,509,509,,
131,24.82681439,22.06846125,0,301,301,,
132,25.22555085,22.46969863,0,161,161,,
133,25.26866425,22.79501196,0,971,971,,
134,26.0300777,23.47782232,0,292,292,,
135,27.21002249,23.75442184,0,179,179,,
136,27.73214812,28.55714544,0,981,981,,
137,28.01757027,26.26270279,0,150,150,,
138,28.12590644,26.48068243,0,258,258,,
139,28.67443666,29.18938925,0,424,424,,
140,29.57489128,29.98217148,0,110,110,,
141,29.57489128,29.98217148,0,532,532,,
142,29.85007733,31.01867247,0,522,522,,
143,30.53414024,30.41935904,0,419,419,,
144,32.55192864,33.40544333,0,117,117,,
145,0,0,110,110,220,,
146,0,0,110,532,642,,
147,1.912562216,1.557282987,110,522,632,,
148,2.329342459,1.771564196,110,981,1091,,
149,2.989608652,2.035090702,110,419,529,,
150,4.535602764,3.878389414,110,117,227,,
151,4.680635917,3.784660931,110,424,534,,
152,7.075358342,5.348476077,110,258,368,,
153,7.509317662,5.468907022,110,150,260,,
154,9.211739518,6.94411408,110,179,289,,
155,9.486284497,7.980214143,110,292,402,,
156,10.26366914,9.9277884,110,161,271,,
157,10.30678254,10.25310173,110,971,1081,,
158,10.39387799,11.47959652,110,181,291,,
159,12.53093875,13.13511905,110,509,619,,
160,13.55056648,13.25407687,110,301,411,,
161,16.76131372,16.19937803,110,438,548,,
162,16.80005674,17.51489448,110,533,643,,
163,16.97973947,17.30496936,110,275,385,,
164,18.40476748,18.54324746,110,490,600,,
165,19.50913305,19.73327013,110,423,533,,
166,19.60527315,19.65950037,110,477,587,,
167,19.60527315,19.65950037,110,801,911,,
168,19.96208975,20.26068101,110,192,302,,
169,20.30003857,19.84179193,110,213,323,,
170,20.94185978,21.00659367,110,248,358,,
171,21.80191327,21.45851348,110,464,574,,
172,22.12462138,21.64991257,110,436,546,,
173,22.39373838,21.60338893,110,451,561,,
174,23.82901175,29.51074975,110,457,567,,
175,23.82901175,29.51074975,110,750,860,,
176,24.11121041,25.16618238,110,455,565,,
177,24.65258723,22.22400221,110,499,609,,
178,24.68633691,23.04345263,110,168,278,,
179,25.27694483,31.48021582,110,328,438,,
180,25.37364355,26.45282896,110,605,715,,
181,25.39864162,25.90165779,110,488,598,,
182,26.01924624,26.30533459,110,383,493,,
183,26.45581796,32.96433461,110,412,522,,
184,27.47783694,24.48277023,110,891,1001,,
