451,110,604,,,
451,516,479,,,
451,383,604,,,
451,479,,,,
450,158,,,,
450,212,,,,
190,161,,,,
419,168,,,,
419,328,,,,
437,178,473,,,
437,252,509,,,
415,179,192,,,
424,203,532,,,
424,488,499,,,
424,488,532,,,
424,499,,,,
971,223,,,,
971,533,,,,
214,264,,,,
455,426,,,,
455,117,,,,
981,436,477,,,
457,438,,,,
150,497,,,,
150,515,,,,
150,515,891,,,
412,605,522,,,
412,522,,,,
292,750,,,,
292,316,,,,
301,801,,,,
405,999,,,,
982,117,,,,
408,181,,,,
408,181,,,,
218,213,478,,,
218,213,478,,,
258,316,,,,
258,383,,,,
423,490,,,,
423,490,,,,
278,602,,,,
278,602,,,,
