ObjectID,ODLines1_Total_TravelTime,ODLines1_Total_Kilometers,ODLines1_Origin_School,ODLines1_Destination_School
154,8.799413448,5.656763498,0,316
155,8.921082766,5.556427687,0,516
156,8.983829421,5.404163546,0,408
157,8.990678221,5.911597114,0,203
158,8.992335171,6.58988603,0,488
159,9.166543488,5.746406421,0,405
160,9.929629587,7.098421439,0,383
161,10.03826357,6.277187596,0,190
162,10.14905375,6.311869753,0,178
163,10.14905375,6.311869753,0,252
164,10.49867908,8.777072537,0,412
165,11.24704754,7.824167684,0,605
166,11.28224965,5.378636478,0,168
167,11.37168693,5.498046905,0,499
168,11.38041196,9.184526298,0,982
169,11.68798777,8.222973612,0,223
170,12.01973692,8.466087462,0,450
171,12.04782826,10.94971145,0,328
172,12.27554366,6.915347306,0,451
173,12.29927379,9.787694899,0,984
174,12.51490465,6.342819924,0,436
175,12.58277685,8.8749871,0,604
176,12.80576966,12.40937329,0,457
177,12.80576966,12.40937329,0,750
178,12.86761888,6.571605299,0,464
179,13.22048566,7.635463357,0,248
180,14.1181043,8.303069428,0,192
181,14.85984902,8.830951801,0,423
182,15.53009398,9.081809263,0,477
183,15.53009398,9.081809263,0,801
184,15.76141181,8.967313894,0,212
185,16.82623023,14.42248219,0,490
186,17.56609627,11.17388544,0,533
187,18.84575001,11.59333915,0,275
188,20.06918901,11.59585028,0,438
189,21.6710881,24.58074861,0,461
190,23.13137377,21.24344045,0,181
191,23.71487292,28.99116211,0,509
192,24.82681439,22.06846125,0,301
193,25.22555085,22.46969863,0,161
194,25.26866425,22.79501196,0,971
195,26.0300777,23.47782232,0,292
196,27.21002249,23.75442184,0,179
197,27.73214812,28.55714544,0,981
198,28.01757027,26.26270279,0,150
199,28.12590644,26.48068243,0,258
200,28.67443666,29.18938925,0,424
201,29.57489128,29.98217148,0,110
202,29.85007733,31.01867247,0,522
203,30.53414024,30.41935904,0,419
204,32.55192864,33.40544333,0,117
205,0,0,438,438
206,5.546940367,3.279375374,438,275
207,5.73215965,3.682181706,438,301
208,5.910571659,4.167940008,438,533
209,7.462361286,4.709750738,438,451
210,8.309380146,5.449096981,438,477
211,8.309380146,5.449096981,438,801
212,8.765907221,6.50151254,438,423
213,8.86822162,6.654183806,438,192
214,9.847991654,7.400096466,438,248
215,9.935356848,6.637382257,438,181
216,10.45490097,7.352653714,438,490
